run,model_nrmse,naive_nrmse,model_mae,naive_mae,model_rmse,naive_rmse
1,0.7968055825746474,0.9651269236122783,1.6260581563447754,1.8769288799303128,7.145980351354867,9.029788916191453
2,0.7736736363692107,0.941745787249253,1.5241235421963684,1.8196912823912101,6.800388644392683,8.637041917216592
3,0.7830919579483648,0.9427491895076412,1.5776656207327069,1.7858264876527885,6.914427364849277,8.543834337723506
4,0.7875338195818583,0.9473823999658375,1.567903756250344,1.8177581229182322,6.836784926287691,8.62823393767743
5,0.7879872733309778,0.9498714000754104,1.575881608091288,1.7644716503192863,6.915766291497721,8.412689710061038
6,0.7851792191699373,0.9498631161166445,1.614973169930557,1.8851913285587119,7.1386403725386725,8.980912372477212
7,0.7871585390822241,0.9635110311843489,1.5672875853034176,1.8479259035677396,7.007540358598345,8.915615353158387
8,0.7862211065773227,0.9518191362852128,1.5591143349593324,1.8241631118894173,6.880494212428987,8.647193074536
9,0.7900883775120672,0.9518107077969722,1.5745930101261674,1.8321522424670007,6.928162747570536,8.805735265588257
10,0.7812941840910737,0.9520569989315566,1.5715532519743665,1.8269906347012896,6.8885873687287456,8.666220709626286
